,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
43,BBC News (World),"RT @BBCSport: Kansas City Chiefs quarterback Patrick Mahomes wins the 2018 NFL Most Valuable Player award 👏👏👏

He's the youngest player to…",Sun Feb 03 16:53:53 +0000 2019,0.8969,0.364,0.636,0.0
44,BBC News (World),In pictures: Rodrigo Duterte and Kim Jong-un impersonators cause a stir https://t.co/8aBxIWXJUn,Sun Feb 03 16:38:12 +0000 2019,0.0,0.0,1.0,0.0
45,BBC News (World),"RT @BBCNews: A black cat invaded the pitch at the game between Everton and Wolves — and BBC commentator John Acres did not disappoint 😹⚽

[…",Sun Feb 03 15:49:21 +0000 2019,0.3089,0.089,0.911,0.0
46,BBC News (World),Venezuela crisis: US sending aid 'at Guaidó's request' https://t.co/Toj6fRXP4x,Sun Feb 03 15:09:17 +0000 2019,-0.6249,0.0,0.661,0.339
47,BBC News (World),"It's #SuperBowl Sunday

Watch our episode on how Atlanta is preparing the city for an increase in sex trafficking t… https://t.co/nl7ULTMVeE",Sun Feb 03 15:04:51 +0000 2019,0.3182,0.103,0.897,0.0
48,BBC News (World),No traffic in Addis Ababa as Ethiopia marks Car Free Day https://t.co/FZqr3LXsz5,Sun Feb 03 13:01:22 +0000 2019,0.2732,0.213,0.645,0.142
49,BBC News (World),Yemi Osinbajo helicopter crash: Nigeria's VP thanks crew https://t.co/imhX6LNg4C,Sun Feb 03 12:52:13 +0000 2019,0.0516,0.23,0.556,0.214
50,BBC News (World),Australia weather: Townsville warned as floodgates open https://t.co/Nu9P2G9zSO,Sun Feb 03 12:06:04 +0000 2019,-0.2732,0.0,0.769,0.231
51,BBC News (World),Brooklyn prison: Power and heat failure sparks protest https://t.co/4RpcSLikkp,Sun Feb 03 11:00:16 +0000 2019,-0.8225,0.0,0.411,0.589
52,BBC News (World),World War One grenade among potatoes at Hong Kong crisp factory https://t.co/4VHwkgZJDm,Sun Feb 03 10:17:15 +0000 2019,-0.5994,0.0,0.738,0.262
53,BBC News (World),In Pictures: Pain and ecstasy at the Lagos marathon https://t.co/loRiAm8pMX,Sun Feb 03 10:03:20 +0000 2019,0.1531,0.257,0.526,0.217
54,BBC News (World),Robert Mueller: America's most mysterious public figure https://t.co/VpVFQXsHKH,Sun Feb 03 08:37:05 +0000 2019,0.0,0.0,1.0,0.0
55,BBC News (World),Nauru migrants: Last four children to leave island for US https://t.co/6qUxXzC32c,Sun Feb 03 08:28:30 +0000 2019,-0.0516,0.0,0.893,0.107
56,BBC News (World),Colombia Farc: Dissident leader Rodrigo Cadete killed in military operation https://t.co/N1XDAPdhr3,Sun Feb 03 05:10:31 +0000 2019,-0.6705,0.0,0.69,0.31
57,BBC News (World),Pope Francis to embark on historic visit to UAE https://t.co/RATHxyvGFs,Sun Feb 03 04:20:24 +0000 2019,0.0,0.0,1.0,0.0
58,BBC News (World),US fake university: India protests after students arrested https://t.co/5n1c33ijvV,Sun Feb 03 00:59:57 +0000 2019,-0.7964,0.0,0.426,0.574
59,BBC News (World),"Obituary: Kim Bok-dong, the South Korean 'comfort woman' https://t.co/r3zRXyoAEk",Sun Feb 03 00:02:03 +0000 2019,0.3612,0.238,0.762,0.0
60,CBS News,Maroon 5 kicks off the Pepsi #SuperBowl LIII halftime show with hit “Harder to Breathe.” 🎶 https://t.co/siePGOQKf1 https://t.co/qLOjyUZdXx,Mon Feb 04 01:22:04 +0000 2019,0.0,0.0,1.0,0.0
61,CBS News,Have you ever wondered how the Vince Lombardi Super Bowl trophy makes its way to the field? Here's a look at the tr… https://t.co/Hfvv1vaU48,Mon Feb 04 01:20:00 +0000 2019,0.5994,0.151,0.849,0.0
62,CBS News,"JUST IN: The New England #Patriots lead the Los Angeles #Rams, 3 to 0, as the #SuperBowl halftime show is about to… https://t.co/lfF9scpaVj",Mon Feb 04 01:01:18 +0000 2019,0.0,0.0,1.0,0.0
63,CBS News,"Plane crash kills 2 people, causes damage in Yorba Linda, California https://t.co/lV7FyanIGg https://t.co/slrM4xk5GK",Mon Feb 04 00:39:39 +0000 2019,-0.8555,0.0,0.489,0.511
64,CBS News,"""GOOD LUCK DADDY!"": Los Angeles Rams post sweet video from the players' families wishing them luck ahead of Super B… https://t.co/QQ5s5tvxnS",Mon Feb 04 00:19:47 +0000 2019,0.961,0.565,0.435,0.0
65,CBS News,WATCH: Fiona the Hippo predicts which team will win the Super Bowl. 🏈 https://t.co/Hg3q9R2EOx https://t.co/rEmHjGSh5l,Mon Feb 04 00:00:39 +0000 2019,0.8271,0.355,0.645,0.0
66,CBS News,SUPER BOWL LIII: Rock and Roll Hall of Famer #GladysKnight delivered the Star Spangled Banner to kick off the 2019… https://t.co/pYFLodSTV4,Sun Feb 03 23:44:59 +0000 2019,0.6841,0.188,0.812,0.0
67,CBS News,Super Bowl LIII starts NOW. Follow along with our live updates. 🏈 https://t.co/5IYbrQsDwG https://t.co/OVnI87tc5u,Sun Feb 03 23:30:34 +0000 2019,0.5994,0.218,0.782,0.0
68,CBS News,"RT @CBSSports: Super Bowl LIII is close to kick off. Watch LIVE on any of these devices.

📺: CBS
📱: Download the CBS Sports app 
💻: Tap thi…",Sun Feb 03 23:26:22 +0000 2019,0.5994,0.126,0.874,0.0
69,CBS News,KICK-OFF: Super Bowl LIII starts at 6:30 p.m. ET on CBS. Watch the New England Patriots and Los Angeles Rams face o… https://t.co/PF5Ve3C9wa,Sun Feb 03 23:23:54 +0000 2019,0.5994,0.151,0.849,0.0
70,CBS News,Protests held outside NYC correctional facility with limited heat https://t.co/S1PPGtuU2f https://t.co/wiJfg5514a,Sun Feb 03 23:02:33 +0000 2019,-0.4215,0.0,0.703,0.297
71,CBS News,CBS News poll: Football fans are divided on the use of instant replay https://t.co/HsGeqeoyqB https://t.co/HOo82fKu1j,Sun Feb 03 22:09:36 +0000 2019,0.0,0.0,1.0,0.0
72,CBS News,RT @DavidBegnaud: ‘Spayathon’ is happening today and into next week in Puerto Rico - I spoke with Kitty Block of the @humanesociety about t…,Sun Feb 03 21:59:32 +0000 2019,-0.4404,0.0,0.879,0.121
73,CBS News,Are two of the world's most trusted airlines cutting corners? Concerned mechanics have a warning for passengers. Se… https://t.co/EDBFxYDgZe,Sun Feb 03 21:50:12 +0000 2019,0.0591,0.15,0.665,0.185
74,CBS News,Former MMA fighter facing murder charges escapes from prisoner van at McDonald's https://t.co/rGIZFzwaFw https://t.co/YTbRQUPfvU,Sun Feb 03 21:33:54 +0000 2019,-0.8481,0.138,0.402,0.46
75,CBS News,"JUST IN: ICE arrests rapper 21 Savage, says he has been living illegally in the U.S. for more than a decade… https://t.co/wbNQcf2YmZ",Sun Feb 03 21:12:35 +0000 2019,-0.7096,0.0,0.763,0.237
76,CBS News,The Super Bowl kicks off at 6:30 p.m. ET on CBS. Here's how to watch it: https://t.co/e604jGGLzF https://t.co/Dk7IOtJ5QM,Sun Feb 03 21:09:46 +0000 2019,0.5994,0.187,0.813,0.0
77,CBS News,"RT @FaceTheNation: ""We'll come back if we have to. We have very fast airplanes, we have very good cargo planes,"" @realDonaldTrump told @mar…",Sun Feb 03 20:21:34 +0000 2019,0.4927,0.127,0.873,0.0
78,CBS News,Linda Ronstadt quit performing years ago as Parkinson's disease made singing impossible. But she just released her… https://t.co/X6dOJ9BQSL,Sun Feb 03 19:59:46 +0000 2019,0.0,0.0,1.0,0.0
79,CBS News,"RT @CBSSunday: You know the song, and the neighborhood. @SesameStreet is celebrating its 50th season this year 

Sesame Street's official 8…",Sun Feb 03 19:46:11 +0000 2019,0.5719,0.156,0.844,0.0
80,The New York Times,RT @cegoldbaum: Lights are back at MDC Brooklyn https://t.co/9xM1RtFLh0,Mon Feb 04 01:32:43 +0000 2019,0.0,0.0,1.0,0.0
81,The New York Times,Scenes from the #SuperBowl https://t.co/LBio7bC6hM https://t.co/KXyZe0jlka,Mon Feb 04 01:25:57 +0000 2019,0.0,0.0,1.0,0.0
82,The New York Times,"🏈At halftime, we have the second-lowest score (3-0) in Super Bowl history🏈 https://t.co/LBio7bC6hM",Mon Feb 04 01:19:12 +0000 2019,0.5994,0.245,0.755,0.0
83,The New York Times,About $1 billion a week is spent in the U.S. to deal with preventable work-related musculoskeletal injuries. Here’s… https://t.co/U9LLucpdY5,Mon Feb 04 01:15:08 +0000 2019,0.0,0.0,1.0,0.0
84,The New York Times,RT @NYTSports: Aaaand that concludes the second-lowest-scoring first half in #SuperBowl history. https://t.co/nQqyRTSu1P,Mon Feb 04 01:06:08 +0000 2019,0.0,0.0,1.0,0.0
85,The New York Times,"We're detecting more than a whiff of '90s nostalgia in tonight's #SuperBowl ads: 

- ""The Big Lebowski"" 
- “I Know… https://t.co/O5PgtTcGVr",Mon Feb 04 00:54:03 +0000 2019,0.0,0.0,1.0,0.0
86,The New York Times,"From shrimp and scallop dumplings to steamed whole fish with ginger and sesame, we've got recipes for Lunar and Chi… https://t.co/SFBtNmNWbB",Mon Feb 04 00:33:03 +0000 2019,-0.0772,0.0,0.939,0.061
87,The New York Times,"🏈Super Bowl Update🏈 
Stephen Gostkowski put the Patriots on the board with a 42-yard field goal in the second quart… https://t.co/7qNWz1uwgA",Mon Feb 04 00:31:11 +0000 2019,0.0,0.0,1.0,0.0
88,The New York Times,"The notion that a dip in demand for computer chips could lead to a general downturn evokes memories of 2000, when o… https://t.co/4ZQWDcouCY",Mon Feb 04 00:31:04 +0000 2019,-0.128,0.0,0.93,0.07
89,The New York Times,RT @katierogers: Entertainment provided at Trump’s Palm Beach golf club by Florida Atlantic University https://t.co/ZJM5RXOxku,Mon Feb 04 00:13:36 +0000 2019,0.4215,0.167,0.833,0.0
90,The New York Times,RT @katierogers: It’s Super Bowl Sunday at Trump’s Palm Beach golf club. The halls are lined with signed “Apprentice” posters and magazine…,Mon Feb 04 00:11:36 +0000 2019,0.5994,0.157,0.843,0.0
91,The New York Times,"In Opinion

Leila Salazar-López writes, ""Mr. Bolsonaro’s rise to power will test companies’ promises to be responsi… https://t.co/hSooRIxyBi",Mon Feb 04 00:00:13 +0000 2019,0.3818,0.133,0.867,0.0
92,The New York Times,The rapper 21 Savage had said he hailed from Atlanta but was an “unlawfully present United Kingdom national” who wa… https://t.co/gHvTZ9uYCH,Sun Feb 03 23:49:04 +0000 2019,0.4854,0.205,0.716,0.08
93,The New York Times,"LIVE: Super Bowl analysis and updates

🏈 LA Rams vs. New England Patriots 🏈https://t.co/LBio7bC6hM",Sun Feb 03 23:32:35 +0000 2019,0.5994,0.218,0.782,0.0
94,The New York Times,RT @sapna: Coming up: our third @nytimes Super Bowl ads live briefing! Send me your rants and praise and follow along here. I’ll be talking…,Sun Feb 03 23:26:28 +0000 2019,0.7574,0.243,0.686,0.072
95,The New York Times,After quitting watching football because of “the recent findings about the frequency with which concussions occur a… https://t.co/50FDnO6lyQ,Sun Feb 03 23:15:08 +0000 2019,0.0,0.0,1.0,0.0
96,The New York Times,RT @NYTSports: 25 minutes from kickoff. Brush up on the keys for the Rams and the Patriots tonight in our live #SuperBowl briefing: https:/…,Sun Feb 03 23:09:29 +0000 2019,0.0,0.0,1.0,0.0
97,The New York Times,"The basic egg salad sandwich has iterations all around the world. But at Konbi, a tiny restaurant in Los Angeles, t… https://t.co/Mh2bdo1NPX",Sun Feb 03 23:00:01 +0000 2019,0.0,0.0,1.0,0.0
98,The New York Times,"At 33, Rams coach Sean McVay will be the youngest head coach in Super Bowl history. To put it mildly, the rest of t… https://t.co/yBmQuts3bM",Sun Feb 03 22:45:05 +0000 2019,0.5994,0.14,0.86,0.0
99,The New York Times,"The Skittles musical, performed on Super Bowl Sunday, aims to be excruciatingly self-referential, metatheatrical to… https://t.co/bMTmCCFuvj",Sun Feb 03 22:30:06 +0000 2019,0.0,0.179,0.642,0.179
100,Fox News,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,Thu Nov 08 19:18:44 +0000 2018,0.0,0.0,1.0,0.0
101,Fox News,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",Thu Nov 08 17:02:25 +0000 2018,-0.6124,0.115,0.615,0.269
102,Fox News,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",Thu Nov 08 15:14:45 +0000 2018,-0.7783,0.0,0.638,0.362
103,Fox News,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,Thu Nov 08 14:22:51 +0000 2018,0.7906,0.389,0.611,0.0
104,Fox News,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",Thu Nov 08 13:43:25 +0000 2018,-0.6369,0.0,0.833,0.167
105,Fox News,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,Thu Nov 08 13:35:03 +0000 2018,-0.6597,0.0,0.672,0.328
106,Fox News,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",Thu Nov 08 13:22:27 +0000 2018,-0.34,0.0,0.862,0.138
107,Fox News,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,Thu Nov 08 12:56:20 +0000 2018,0.0,0.0,1.0,0.0
108,Fox News,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",Thu Nov 08 12:37:05 +0000 2018,0.0,0.0,1.0,0.0
109,Fox News,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,Thu Nov 08 12:25:14 +0000 2018,-0.34,0.0,0.87,0.13
110,Fox News,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",Thu Nov 08 12:06:14 +0000 2018,0.0258,0.105,0.795,0.1
111,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",Thu Nov 08 11:54:22 +0000 2018,-0.6486,0.0,0.736,0.264
112,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",Thu Nov 08 11:38:17 +0000 2018,-0.6486,0.0,0.719,0.281
113,Fox News,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",Thu Nov 08 11:32:26 +0000 2018,0.0,0.0,1.0,0.0
114,Fox News,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,Thu Nov 08 11:26:46 +0000 2018,-0.6486,0.0,0.677,0.323
115,Fox News,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",Thu Nov 08 11:18:08 +0000 2018,-0.6486,0.0,0.719,0.281
116,Fox News,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",Thu Nov 08 11:13:32 +0000 2018,-0.6486,0.0,0.765,0.235
117,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,Thu Nov 08 11:12:14 +0000 2018,0.0,0.0,1.0,0.0
118,Fox News,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",Thu Nov 08 10:53:33 +0000 2018,0.0,0.0,1.0,0.0
119,Fox News,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,Thu Nov 08 10:36:12 +0000 2018,0.0,0.0,1.0,0.0
120,CNN,Two people were killed and two others injured when a small plane crashed into a home on Sunday outside of Los Angel… https://t.co/rSXFDNAWjd,Mon Feb 04 01:33:24 +0000 2019,-0.802,0.0,0.725,0.275
121,CNN,"Instead of sugary treats, fatty chips, or high-calorie sodas, a vending machine at this elementary school is filled… https://t.co/OJdVjWBIeI",Mon Feb 04 01:30:03 +0000 2019,0.0,0.0,1.0,0.0
122,CNN,An 11-year-old girl began asking nursing home residents what three things in the world they wish they had right now… https://t.co/BsSv6lrZDA,Mon Feb 04 01:15:07 +0000 2019,0.4019,0.119,0.881,0.0
123,CNN,The US government received its worst score since 2011 in a global survey measuring government corruption… https://t.co/0Qx0Zx8Cc0,Mon Feb 04 01:00:11 +0000 2019,-0.6249,0.0,0.785,0.215
124,CNN,Trump says he'd have a hard time letting his son Barron play football https://t.co/nmtcSbryCN https://t.co/HiWo1psXbn,Mon Feb 04 00:45:05 +0000 2019,0.25,0.152,0.759,0.089
125,CNN,Trump says use of military force in Venezuela is still on the table https://t.co/scIJiJ0JBE https://t.co/vhiOENuLmQ,Mon Feb 04 00:30:09 +0000 2019,0.0,0.0,1.0,0.0
126,CNN,Here's who has called for Ralph Northam's resignation https://t.co/EilZxUubWJ https://t.co/Rt00OGlIEV,Mon Feb 04 00:15:06 +0000 2019,-0.296,0.0,0.804,0.196
127,CNN,"A massive hole two-thirds the size of Manhattan has been discovered growing in an Antarctic glacier, signaling rapi… https://t.co/cHWFSwg9Pa",Mon Feb 04 00:00:13 +0000 2019,0.1779,0.091,0.909,0.0
128,CNN,A nine-year conservation project on King Tutankhamun's tomb has finished https://t.co/nHNalg7IJM https://t.co/im0tZYJecK,Sun Feb 03 23:45:06 +0000 2019,0.0,0.0,1.0,0.0
129,CNN,The most shocking part of the racist yearbook photo is what critics leave out | Analysis by John Blake… https://t.co/tWDxDvfoGY,Sun Feb 03 23:30:12 +0000 2019,-0.8553,0.0,0.591,0.409
130,CNN,This CEO wants to make grocery shopping effortless https://t.co/Ng5MqYFu0V https://t.co/8j45AjjnU0,Sun Feb 03 23:15:00 +0000 2019,0.0,0.0,1.0,0.0
131,CNN,What a Dixie Ribs joint owner taught me about forgiveness and reconciliation | By Johnita P. Due for @CNNOpinion… https://t.co/buWPVQKB3m,Sun Feb 03 23:00:19 +0000 2019,0.2732,0.11,0.89,0.0
132,CNN,"ICE arrests rapper 21 Savage, says he's illegally present in US https://t.co/ummiB2UzXm https://t.co/9Iqzq6jagk",Sun Feb 03 22:44:13 +0000 2019,-0.7096,0.0,0.651,0.349
133,CNN,"Axios: Since midterms, Trump has spent nearly 60% of his scheduled time in unstructured 'executive time'… https://t.co/ymWgzwopYH",Sun Feb 03 22:30:14 +0000 2019,0.0,0.0,1.0,0.0
134,CNN,"These brands want to make your work clothes comfortable, functional and high-tech https://t.co/U6ZMK476BN https://t.co/e9IqTooxNh",Sun Feb 03 22:15:00 +0000 2019,0.5574,0.277,0.723,0.0
135,CNN,Gov. Cuomo calls on DOJ to investigate power outage at Brooklyn detention center https://t.co/58xkvkhDim https://t.co/DT7awh0Qcb,Sun Feb 03 22:00:05 +0000 2019,-0.3612,0.0,0.848,0.152
